season,class,n_dots,max_N,phi_bar_near,phi_bar_far,phi_bar_min,phi_bar_max,monotone_decay
spring,dry-dry,4413,174,0.5204720258210637,0.08802655330009816,0.08802655330009816,0.5204720258210637,False
spring,wet-wet,2106,169,0.4250929403466725,0.028115865047258687,0.028115865047258687,0.4250929403466725,True
spring,dry-wet,3933,93,-0.355435111371744,-0.03524629664972997,-0.355435111371744,-0.034682791882780624,False
summer,dry-dry,2040,138,0.43961161210845007,0.041273241939219184,0.041273241939219184,0.43961161210845007,False
summer,wet-wet,535,135,0.4911166396703505,0.033981436179149435,0.033981436179149435,0.4911166396703505,False
summer,dry-wet,1243,63,-0.29003367091059473,-0.031152799553000602,-0.29003367091059473,-0.031152799553000602,False
autumn,dry-dry,4345,183,0.5792094978414988,0.1327827282824136,0.1327827282824136,0.5792094978414988,True
autumn,wet-wet,1943,199,0.4539815637258232,0.06358469394584984,0.06358469394584984,0.4539815637258232,True
autumn,dry-wet,3795,81,-0.36337583665815526,-0.0763288219647192,-0.36337583665815526,-0.04160268677884163,False
winter,dry-dry,3664,187,0.6092860947505454,0.1109204414286465,0.1109204414286465,0.6092860947505454,False
winter,wet-wet,1920,191,0.48461158264118814,0.099090035040734,0.099090035040734,0.48461158264118814,True
winter,dry-wet,3236,68,-0.33844613764389764,-0.08982131065649815,-0.33844613764389764,-0.02831876805956416,False
