station_j,station_k,dist,state_class,n_days,n_sw_j,n_sw_k,n_joint,expected_joint,ratio_emp,ratio,rho_hat
OVIEDO,VIMIANZO,0.2797860973512317,wet-wet,389,173,182,101,84.7377025218341,1.2478244299053547,1.1919133631688403,0.32700105568595855
OVIEDO,VIMIANZO,0.2797860973512317,dry-wet,668,338,190,61,58.320396620915055,0.6345063843039551,1.0459462475281585,-0.33561004102617953
OVIEDO,ZAMORA,0.25066226736830066,dry-dry,1149,256,69,40,16.160212366853116,2.6019021739130435,2.4752149966819537,0.4830158705648293
OVIEDO,ZAMORA,0.25066226736830066,wet-wet,165,73,109,58,47.838621716520976,1.2027145909262285,1.212409511789296,0.39182671181181705
OVIEDO,ZAMORA,0.25066226736830066,dry-wet,539,279,97,27,24.883852863877095,0.5377452610575324,1.085040976077898,-0.3739464865157405
PAMPLONA,PONFERRADA,0.4344219894142916,dry-dry,1025,106,90,26,11.438426469526206,2.793501048218029,2.273039921117485,0.4182064052310073
PAMPLONA,PONFERRADA,0.4344219894142916,wet-wet,130,59,76,42,33.07315873917312,1.2176628010704729,1.2699119649026325,0.3092442526427249
PAMPLONA,PONFERRADA,0.4344219894142916,dry-wet,338,185,113,36,18.685080873308323,0.5820617077254245,1.9266708152933967,-0.1494747664572682
PAMPLONA,PORTO,0.6513699750076883,dry-dry,1043,113,91,17,11.198490142538613,1.7243022464261402,1.5180617907965785,0.20216861884004694
PAMPLONA,PORTO,0.6513699750076883,dry-wet,366,183,104,26,21.65265359612429,0.5,1.200776610800898,-0.2598782623535624
PAMPLONA,SORIA,0.16008198040933486,dry-dry,1237,129,137,62,18.124302688855337,4.339614100605443,3.4208212621677245,0.6951870990971387
PAMPLONA,SORIA,0.16008198040933486,wet-wet,185,99,116,81,53.84871698483742,1.304858934169279,1.5042141119686803,0.6269175464081211
PAMPLONA,SORIA,0.16008198040933486,dry-wet,284,133,122,17,19.08953060222636,0.2975471465549119,0.8905404933328919,-0.4766201905154623
PAMPLONA,TARIFA,0.9894140921844281,dry-dry,559,61,7,1,1.3296110328056348,1.3091334894613582,0.7520996557089956,0.0808709931398747
