station_j,station_k,state_class,dist_exact,n_class_days_exact,n_used_exact,n_cells_exact,phi_bar_exact,dist_binned,n_class_days_binned,n_used_binned,n_cells_binned,phi_bar_binned
ALACANT/ALICANTE,GETAFE,dry-dry,350.6111409533631,1009,250,8,0.4588786939404083,350.6111409533631,1009,965,14,0.32097868738613455
ALACANT/ALICANTE,GETAFE,dry-wet,350.6111409533631,301,103,7,-0.2073138578087322,350.6111409533631,301,243,11,-0.29728699552993754
ALACANT/ALICANTE,GETAFE,wet-wet,350.6111409533631,167,123,4,0.31856576395207564,350.6111409533631,167,147,4,0.3442716629345115
ALACANT/ALICANTE,LORCA,dry-dry,131.50609021423713,1385,518,19,0.6405572422432568,131.50609021423713,1385,1334,12,0.5369250609599518
ALACANT/ALICANTE,LORCA,dry-wet,131.50609021423713,192,26,2,-0.4384542545103336,131.50609021423713,192,142,8,-0.40375422465679284
ALACANT/ALICANTE,LORCA,wet-wet,131.50609021423713,179,141,4,0.573170407549626,131.50609021423713,179,162,4,0.5394492307304759
ALACANT/ALICANTE,MONTSERRAT,dry-dry,409.6572976142475,1221,311,13,0.32399201283736995,409.6572976142475,1221,1186,15,0.3108800429795174
ALACANT/ALICANTE,MONTSERRAT,dry-wet,409.6572976142475,316,119,8,-0.3695317318467209,409.6572976142475,316,251,11,-0.2922519735448231
ALACANT/ALICANTE,MONTSERRAT,wet-wet,409.6572976142475,156,121,4,0.16378568356423048,409.6572976142475,156,136,4,0.13370076174489803
ALACANT/ALICANTE,OURENSE,dry-dry,762.920366146825,674,153,9,-0.09540858164720041,762.920366146825,674,548,12,-0.017617081512201864
ALACANT/ALICANTE,OURENSE,dry-wet,762.920366146825,583,176,12,-0.06279317916893333,762.920366146825,583,548,20,-0.04216420085089782
ALACANT/ALICANTE,OURENSE,wet-wet,762.920366146825,122,63,3,0.045366479890067465,762.920366146825,122,104,5,-0.01756100978393086
ALACANT/ALICANTE,OVIEDO,dry-dry,714.7849823242314,752,158,7,0.048094947454147836,714.7849823242314,752,720,14,0.018868629236906884
ALACANT/ALICANTE,OVIEDO,dry-wet,714.7849823242314,702,272,18,-0.06909842788283228,714.7849823242314,702,651,18,-0.06408672998313678
ALACANT/ALICANTE,OVIEDO,wet-wet,714.7849823242314,146,99,5,0.0028511404464931535,714.7849823242314,146,136,6,0.013444501901374164
ALACANT/ALICANTE,PAMPLONA,dry-dry,503.62547941199756,799,136,8,0.23675790483758366,503.62547941199756,799,799,16,0.10111073461430971
ALACANT/ALICANTE,PAMPLONA,dry-wet,503.62547941199756,625,195,12,0.008111500245230094,503.62547941199756,625,540,16,-0.007728512787612232
ALACANT/ALICANTE,PAMPLONA,wet-wet,503.62547941199756,121,76,3,-0.16772037610613613,503.62547941199756,121,112,5,-0.04922853341188714
ALACANT/ALICANTE,PONFERRADA,dry-dry,695.3522209424913,716,154,8,0.11430606432437466,695.3522209424913,716,716,16,0.008162250179494283
ALACANT/ALICANTE,PONFERRADA,dry-wet,695.3522209424913,533,177,11,-0.06282919937773793,695.3522209424913,533,478,18,-0.023787742134912478
ALACANT/ALICANTE,PONFERRADA,wet-wet,695.3522209424913,99,70,4,-0.05656984427562143,695.3522209424913,99,82,4,-0.11171683417680742
ALACANT/ALICANTE,PORTO,dry-dry,767.6557535721732,814,120,7,-0.049173256407097146,767.6557535721732,814,814,16,-0.013494911132154879
ALACANT/ALICANTE,PORTO,dry-wet,767.6557535721732,702,240,16,-0.00533061555669219,767.6557535721732,702,673,22,-0.005545429806733971
ALACANT/ALICANTE,PORTO,wet-wet,767.6557535721732,133,73,4,0.0026138890531836366,767.6557535721732,133,120,6,0.020638549601550628
