station_j,station_k,dist,state_class,n_days,n_sw_j,n_sw_k,n_joint,expected_joint,ratio_emp,ratio,rho_hat
ALACANT/ALICANTE,ALMEIDINHA,0.6538393164492697,dry-dry,603,52,103,22,9.185112282537615,2.4768483943241226,2.3951803008250168,0.4015356615197499
ALACANT/ALICANTE,ALMEIDINHA,0.6538393164492697,dry-wet,323,74,121,16,16.882162468629836,0.5771722135358499,0.9477458844345885,-0.09941021020911893
ALACANT/ALICANTE,AMARANTE,0.7700675757933936,dry-dry,588,58,136,22,10.492512589245628,1.6399594320486814,2.096733247911377,0.2468076724444518
ALACANT/ALICANTE,AMARANTE,0.7700675757933936,wet-wet,115,75,36,22,18.709966519388985,0.937037037037037,1.1758438999450684,-0.04071017844850319
ALACANT/ALICANTE,AMARANTE,0.7700675757933936,dry-wet,513,93,151,16,21.86843791340418,0.5844904934842983,0.7316480520171429,-0.20760292255636764
ALACANT/ALICANTE,ARANJUEZ,0.35246898311497993,dry-dry,887,60,137,36,11.963598611897122,3.884671532846715,3.0091280364588657,0.6429403092615772
ALACANT/ALICANTE,ARANJUEZ,0.35246898311497993,wet-wet,133,78,80,58,42.63052119847946,1.2362179487179488,1.3605275837460027,0.5163208285759034
ALACANT/ALICANTE,ARANJUEZ,0.35246898311497993,dry-wet,258,113,106,20,17.250257315369304,0.4307897812656537,1.1594029952342093,-0.407834551465759
ALACANT/ALICANTE,BARCELOS,0.8294414107042047,dry-dry,531,56,118,18,9.891022849698027,1.4464285714285714,1.8198320106549486,0.18076828287270738
ALACANT/ALICANTE,BARCELOS,0.8294414107042047,wet-wet,104,72,33,22,16.283262745738526,0.9629629629629629,1.3510805754060313,-0.0023350257097847073
ALACANT/ALICANTE,BARCELOS,0.8294414107042047,dry-wet,545,94,136,17,23.310157534663155,0.7247340425531915,0.7292958005419014,-0.12415619802740788
ALACANT/ALICANTE,BEARIZ,0.8791399283682779,dry-dry,443,41,96,6,7.527242299347066,0.6753048780487805,0.7971046714572291,-0.16543140625123887
ALACANT/ALICANTE,BEARIZ,0.8791399283682779,dry-wet,496,102,100,17,20.19720857854514,0.8266666666666667,0.8417004723147022,-0.017242388379780673
ALACANT/ALICANTE,BEJA,0.6451766347937,dry-dry,1011,66,183,19,14.995295005536851,1.5904123199205167,1.2670641019722824,0.11718801397993588
ALACANT/ALICANTE,BEJA,0.6451766347937,wet-wet,150,86,70,42,33.98962374855978,1.0465116279069768,1.23567122456834,0.08280815603604808
ALACANT/ALICANTE,BEJA,0.6451766347937,dry-wet,483,173,199,51,31.015698310689384,0.7155139861155488,1.6443286070532592,-0.10753205734551347
ALACANT/ALICANTE,BRAGANCA,0.718272765242701,dry-dry,925,75,174,18,13.993442246765152,1.2758620689655173,1.2863168105875478,0.10717077880298778
ALACANT/ALICANTE,BRAGANCA,0.718272765242701,wet-wet,124,80,48,35,24.985546270588845,1.1302083333333333,1.4008098770767896,0.25496993955564
ALACANT/ALICANTE,BRAGANCA,0.718272765242701,dry-wet,613,171,187,45,33.62404195667358,0.8626512806079369,1.3383280944624374,0.013091177839303105
