,"simulated data from fitted model, 41 years","simulated data from fitted model, 41 years","simulated data from fitted model, 41 years","simulated data from fitted model, 41 years","simulated data from fitted model, 41 years","simulated data from fitted model, 41 years","simulated data from fitted model, 41 years","simulated data from fitted model, 41 years","simulated data from fitted model, 1025 years","simulated data from fitted model, 1025 years","simulated data from fitted model, 1025 years","simulated data from fitted model, 1025 years","simulated data from fitted model, 1025 years","simulated data from fitted model, 1025 years","simulated data from fitted model, 1025 years","simulated data from fitted model, 1025 years"
,n_pairs,obs median,sim median,"bias (sim - obs, N-w.)",rmse (N-w.),corr (pairs),"spearman(obs, h)","spearman(sim, h)",n_pairs,obs median,sim median,"bias (sim - obs, N-w.)",rmse (N-w.),corr (pairs),"spearman(obs, h)","spearman(sim, h)"
season,,,,,,,,,,,,,,,,
spring,325,0.721827031074504,0.673469387755102,-0.040199915267405115,0.06093392788436205,0.8368070889649271,-0.7231380979847238,-0.6426102459231294,325,0.721827031074504,0.6701802757158006,-0.03793128061778243,0.05877223029052019,0.8455145033261715,-0.7231380979847238,-0.6266728936907606
summer,325,0.8269896193771626,0.8133943903835146,-0.014829370900334886,0.02743546900173217,0.9587331559999112,-0.39422578784541984,-0.3115729487307039,325,0.8269896193771626,0.8081654294803817,-0.018835782234981915,0.02782816659305701,0.9695882760394913,-0.39422578784541984,-0.3383753988058146
autumn,325,0.744375,0.710446247464503,-0.02193738109535381,0.0544454668537635,0.8173133221595242,-0.6969213290685684,-0.5182954922832225,325,0.744375,0.7064272313052801,-0.023392370481486194,0.0530551231165632,0.8335020855909523,-0.6969213290685684,-0.5567721596092162
winter,325,0.7275083302480563,0.6643946770529049,-0.042649584029678056,0.0699418266525245,0.8353460772827254,-0.6981413315155647,-0.5967322112107388,325,0.7275083302480563,0.6723804377195353,-0.04064039247778535,0.06795262599101458,0.8498813796974025,-0.6981413315155647,-0.6705763262349778
