season,n_stations,n_years,n_pairs,lam0,lam1,sigma_wc,sigma_w0,sigma_w1,ll
spring,35,41,700517,0.8470985076562434,0.19913407937692051,0.7430221675043645,0.015211808195432419,0.2733022519604807,-706589.4332155107
summer,35,41,596145,0.8729079839737391,0.2450213954134509,0.4404100570498738,0.012832212838762347,0.24000286242442453,-392858.62227106903
autumn,35,41,671875,0.8209083019604211,0.20679509997784482,0.8614509924821129,0.150315585251535,0.28959642155843734,-671432.8496458889
winter,35,41,672819,0.34893772247569943,0.47569249281036247,1.0820055535888153,0.5088267979652712,0.166598777308152,-647127.8134535281
