season,n_pairs,obs median,sim median,"bias (sim - obs, N-w.)",rmse (N-w.),corr (pairs),"spearman(obs, h)","spearman(sim, h)"
spring,325,0.721827031074504,0.673469387755102,-0.040199915267405115,0.06093392788436205,0.8368070889649271,-0.7231380979847238,-0.6426102459231294
summer,325,0.8269896193771626,0.8133943903835146,-0.014829370900334886,0.02743546900173217,0.9587331559999112,-0.39422578784541984,-0.3115729487307039
autumn,325,0.744375,0.710446247464503,-0.02193738109535381,0.0544454668537635,0.8173133221595242,-0.6969213290685684,-0.5182954922832225
winter,325,0.7275083302480563,0.6643946770529049,-0.042649584029678056,0.0699418266525245,0.8353460772827254,-0.6981413315155647,-0.5967322112107388
