season,n_stations,n_years,n_pairs,lam,sigma_wc,sigma_w0,sigma_w1,ll
spring,26,41,528970,0.4348653901905172,559.4137962564865,456.8663076601379,306.55840905496575,-533250.9436367311
summer,26,41,448309,0.5011482935002359,340.76815390540844,320.3268668468628,286.1412606720454,-298409.88388060615
autumn,26,41,514619,0.4529052738287855,643.9898142165903,508.4860417177206,319.48512405765143,-513260.5992590805
winter,26,41,511522,0.47404103796097197,682.2401087442797,516.1750391315633,339.8920832136931,-487790.79108200106
