data_source,f_1,kappa,sigma,xi
CATUS all,0.2735754748417194,0.828760335611676,6.811422217012903,-0.047884660272892954
CATUS spring,0.27741935483870966,0.8631584274475163,5.653044139298526,-0.009912537233569321
CATUS summer,0.2205056179775281,0.8912726251458256,7.25299942715728,-0.008363185056669034
CATUS autumn,0.27248322147651005,0.814087570793759,7.178240794195591,-0.07994541083895867
CATUS winter,0.3198959687906372,0.7611787870791761,7.07980643927999,-0.11359890766147357
CHANIA all,0.23680456490727533,0.9050845979085987,6.217088262594211,0.5707432926837513
CHANIA spring,0.1953125,0.7658865867343847,12.570386868067876,0.5413089564526711
CHANIA summer,0.0,1.031356632548412,95.13206931784043,-0.49999999999999994
CHANIA autumn,0.2,0.9346881512074876,7.738941850263593,0.06638047517823918
CHANIA winter,0.2942989214175655,0.8193510089666585,5.0650212333215086,-0.023382504661883415
CHERNI VRAH all,0.3112175102599179,0.8540716197571586,4.972668904005275,0.11755340774539125
CHERNI VRAH spring,0.3316831683168317,1.0329200338269409,3.002829661933155,0.40222085417066333
CHERNI VRAH summer,0.27044025157232704,0.7713259290819849,6.9282200314188325,-0.08282816458082189
CHERNI VRAH autumn,0.27672955974842767,0.9044866228289725,6.026982541584073,0.06970935840783087
CHERNI VRAH winter,0.34834123222748814,0.7500785649692487,4.995135115615484,-0.141708861703486
CHIRPAN all,0.1774891774891775,1.0762672338372024,5.743606381931746,0.21927417594122864
CHIRPAN spring,0.19047619047619047,1.234365037065245,3.6703713439330907,0.421956299781782
CHIRPAN summer,0.15819209039548024,0.9848234235096924,7.33379797470282,0.09167682729291524
CHIRPAN autumn,0.17293233082706766,1.296583162270253,5.534436344349388,0.21923972660789315
CHIRPAN winter,0.18497109826589594,1.0546744736860127,5.687398004444897,0.18881102527956048
CIGLI all,0.20454545454545456,0.8528018815646813,7.11106771919358,0.47224718001800664
CIGLI spring,0.14106583072100312,0.9179202117280456,6.971897539363386,0.4466302591127765
CIGLI summer,0.11666666666666667,0.6325298582040033,102.54869673362955,-0.49999999999999983
CIGLI autumn,0.17297297297297298,0.835278343182763,11.100966235289446,0.010247000394944148
CIGLI winter,0.27455357142857145,0.8224795481412385,5.595733307532394,0.05510993958743331
CIUDAD REAL all,0.24441964285714285,0.833951598517846,10.314828635053946,0.18196471488209673
CIUDAD REAL spring,0.25461254612546125,0.9152702492222047,7.536522014312946,0.2251575856611673
CIUDAD REAL summer,0.10434782608695652,0.6939262508158767,30.99311027941414,-0.127440136042625
CIUDAD REAL autumn,0.23382045929018788,0.8050418003671581,10.03396078318984,0.00616763548155951
CIUDAD REAL winter,0.3031423290203327,0.894454604598487,8.957669978584622,0.09916048041300009
COIMBRA / INST. GEOFIS. all,0.28676186800463144,0.8531451350411502,8.55486308151323,0.10579201767514812
COIMBRA / INST. GEOFIS. spring,0.30171277997364954,0.9383697152638542,6.517103458259981,0.07568510649050811
COIMBRA / INST. GEOFIS. summer,0.1457286432160804,0.9779571728013561,17.04511496061725,-0.05828274384293354
COIMBRA / INST. GEOFIS. autumn,0.2985714285714286,0.816877522878263,7.694426371940822,-0.01553781848806761
COIMBRA / INST. GEOFIS. winter,0.33651226158038144,0.8623176657858695,6.740060874501414,0.05500935009810367
CONSTANTA all,0.18602885345482156,0.9000961142673823,8.254675378184032,0.037169393603446496
CONSTANTA spring,0.200836820083682,0.8081563372072906,8.137216558945521,-0.03310967370695678
CONSTANTA summer,0.17488076311605724,0.8495591584105151,10.254239955533537,0.024029901026201353
CONSTANTA autumn,0.16013628620102216,0.9453161101112112,8.439522387751794,0.02462943678438374
CONSTANTA winter,0.20256776034236804,1.0483191613878096,6.548639626973882,0.10522092621689241
CORDOBA AEROPUERTO all,0.22850678733031674,0.8239812721010624,10.619064867775045,0.31319883323721753
CORDOBA AEROPUERTO spring,0.2137546468401487,0.9180321743622926,8.986292396719904,0.3395404868391288
CORDOBA AEROPUERTO summer,0.09219858156028368,0.6933757579728457,74.93687904177312,-0.49999999999999994
CORDOBA AEROPUERTO autumn,0.21327967806841047,0.8766151726743279,8.636659394807424,0.1200462790358443
CORDOBA AEROPUERTO winter,0.28716216216216217,0.824002099847017,9.168597291438926,0.0976230943277749
CORFU all,0.25012309207287053,0.8300151448809355,7.539317854130411,0.23280383472572322
CORFU spring,0.22071307300509338,0.7959184297216498,7.995798705667781,0.17214367092852614
CORFU summer,0.08163265306122448,0.9648419759246188,24.095373588876743,-0.08845684525449572
CORFU autumn,0.2616984402079723,0.9223303583729536,6.729303324410897,-0.023168243540104848
CORFU winter,0.3153961136023916,0.8010502910009938,5.3150192439826,0.053086319148452375
CRAIOVA all,0.21286472148541113,0.8856423994011091,6.533762367989474,0.08212091764073691
