souid,city,country,lat,lon
267762,TINEO  SOUTU,ES,43.290277777777774,-6.386666666666667
186597,ALTENSTADT/WALDNAAB,DE,49.71416666666667,12.170833333333333
139154,HANGSTAD,SE,59.86,11.97
185835,LOHBERG,DE,49.18305555555556,13.1
120404,PONTEVEDRA  INSTITUTO,ES,42.43055555555555,-8.646944444444443
235159,RUDOLFSHUETTE,AT,47.13444444444444,12.625555555555556
155337,ALTREI,IT,46.28,11.365
184383,HAUSHAM-GRUB,DE,47.77027777777778,11.808055555555557
183907,GREUSSEN,DE,51.225,10.939166666666669
190409,DIETENHEIM,DE,48.20916666666667,10.065277777777778
119397,UPPER HEYFORD,GB,51.93305555555556,-1.25
147724,SALLOUM,EG,31.55,25.18
231584,NEUSIEDL AM SEE,AT,47.9425,16.85777777777778
102220,GREIFSWALD,DE,54.09777777777778,13.4075
126490,NEUHAUS AM RENNWEG,DE,50.50138888888889,11.135555555555555
183913,GREVESMUEHLEN,DE,53.83083333333334,11.170833333333333
189711,WIPPERFUERTH (SCHEVELINGER TALSPERRE ),DE,51.13583333333333,7.430555555555556
155301,LLEIDA-AJUNTAMENT,ES,41.61638888888889,0.5830555555555555
137882,SKEDEMOSSE,SE,56.84,16.75
209279,BORNE,NL,52.30055555555556,6.7675
235965,KOLLERSCHLAG,AT,48.60277777777778,13.839166666666667
184069,GRUBE,DE,54.2275,11.033055555555556
187113,PFARRKIRCHEN,DE,48.425,12.991944444444444
107786,CASHEL (BALLINAMONA),IE,52.51083333333333,-7.928055555555556
186353,MUENZENBERG-GAMBACH,DE,50.45166666666667,8.731666666666667
229452,VENT,AT,46.86638888888889,10.933055555555557
186427,RAITENBUCH,DE,49.00888888888889,11.124166666666667
220210,BONNDORF/SCHWARZWALD,DE,47.81916666666667,8.334444444444445
183905,GREMSDORF,DE,49.69555555555555,10.834166666666668
156414,ORGANYA,ES,42.215833333333336,1.331388888888889
189937,ZEULENRODA,DE,50.63444444444444,11.973333333333333
181637,ALTLOHBERGHUETTE,DE,49.17583333333333,13.131388888888887
186103,MELLIN,DE,52.65,10.986666666666666
138366,VISINGSO_A,SE,58.1,14.41
107807,LANESBORO O.P.W.,IE,53.675,-7.991666666666667
187177,SUEDERHOLZ-NEUENDORF,DE,54.10305555555556,13.153055555555556
241557,LIVGARDENS KASERNE,DK,55.68555555555555,12.576666666666666
182049,BETZENSTEIN,DE,49.68,11.416666666666666
109176,KUINRE,NL,52.78305555555556,5.85
100726,TORREVIEJA,ES,37.97694444444445,-0.7105555555555555
188165,SCHWARZENBRUCH,DE,48.36666666666667,8.233055555555556
235510,ZELL AM ZILLER - ROHRBERG,AT,47.255,11.904166666666669
121198,WENDELSTEIN,DE,47.70416666666667,12.013055555555557
238955,SLUPIA WIELKA,PL,52.21666666666667,17.216666666666665
226267,THALHAM,AT,47.93305555555556,13.483055555555556
182997,EDERMUENDE-BILSTEIN,DE,51.22555555555556,9.366388888888888
183125,ELSFLETH-MOORHAUSEN,DE,53.17333333333333,8.321666666666667
187153,PLEISSA,DE,50.84388888888889,12.775
137756,KILLEBACKSTORP,SE,56.38,12.75
126214,MUHLACKER,DE,48.973055555555554,8.874166666666667
189023,KRAFTISRIED,DE,47.76694444444444,10.460277777777778
138060,OLANDS NORRA UDDE,SE,57.37,17.1
138486,SKOVDE,SE,58.39,13.84
182701,DANNDORF,DE,52.42638888888889,10.916666666666666
102051,HAAMSTEDE,NL,51.7,3.7
124246,AURICH,DE,53.46333333333334,7.467777777777778
126850,NURTINGEN,DE,48.63305555555556,9.326944444444443
137960,KINNARED,SE,57.03,13.12
189931,ZENTBECHHOFEN,DE,49.766666666666666,10.9
256404,AYVALIK,TR,39.3,26.7
257125,KORCA,AL,40.6,20.766666666666666
137616,RINKABY,SE,55.98,14.27
109226,NIJKERK,NL,52.23305555555556,5.466666666666667
125074,BAD LAUCHSTADT,DE,51.3925,11.88
103421,KOMRAT,MD,46.3,28.7
189921,ZELLA-MEHLIS,DE,50.65,10.666666666666666
189461,WEITNAU-WENGEN,DE,47.67583333333333,10.147777777777778
182205,BOCKAU,DE,50.53944444444444,12.685277777777776
227944,PERTISAU,AT,47.44305555555555,11.700555555555557
236963,JABLONKA,PL,49.46666666666667,19.7
185905,LUEDELSEN,DE,52.68527777777778,10.940555555555555
