souid,city,country,lat,lon
100020,KARLSTAD,SE,59.35,13.466666666666667
100023,KARLSTAD-AIRPORT,SE,59.44444444444444,13.3375
100026,OESTERSUND,SE,63.183055555555555,14.483055555555556
100035,GRAZ-UNIVERSITAET,AT,47.07777777777778,15.44888888888889
100037,INNSBRUCK-UNIV,AT,47.26,11.384166666666665
100039,SALZBURG-FLUGHAFEN,AT,47.78916666666667,13.008055555555556
100041,SONNBLICK (TAWES),AT,47.05416666666667,12.9575
100043,WIEN-HOHE WARTE,AT,48.248333333333335,16.35638888888889
100062,ZAGREB-GRIC,HR,45.81666666666667,15.978055555555555
100065,AMIANDOS,CY,34.933055555555555,32.916666666666664
100071,LIMASSOL,CY,34.666666666666664,33.04972222222222
100074,NICOSIA,CY,35.166666666666664,33.35
100077,POLIS,CY,35.033055555555556,32.433055555555555
100078,POLIS,CY,35.033055555555556,32.433055555555555
100082,PRAHA-KLEMENTINUM,CZ,50.08638888888889,14.41638888888889
100086,HELSINKI KAISANIEMI,FI,60.175,24.947777777777777
100090,JYVASKYLA LENTOASEMA,FI,62.401944444444446,25.678333333333335
100094,SODANKYLA. LAPIN ILMATIET. TUTK.KESKUS,FI,67.36583333333333,26.633055555555558
100101,BOURGES,FR,47.05916666666666,2.3594444444444447
100105,TOULOUSE-BLAGNAC,FR,43.62083333333334,1.3788888888888888
100109,BORDEAUX-MERIGNAC,FR,44.830555555555556,-0.6913888888888889
100117,PERPIGNAN,FR,42.73694444444445,2.872777777777778
100121,LYON - ST EXUPERY,FR,45.72638888888889,5.0777777777777775
100130,BAMBERG,DE,49.875277777777775,10.921666666666667
100135,BERLIN-DAHLEM,DE,52.46388888888889,13.301666666666668
100140,BREMEN,DE,53.046388888888885,8.799166666666666
100145,DRESDEN WAHNSDORF,DE,51.11666666666667,13.683055555555555
100150,FRANKFURT,DE,50.046388888888885,8.598333333333334
100155,HALLE,DE,51.51444444444444,11.950555555555555
100160,HAMBURG BERGEDORF,DE,53.480555555555554,10.242777777777777
100164,HAMBURG FUHLSBUETTEL,DE,53.635,9.989999999999998
100169,HOHENPEISSENBERG,DE,47.80166666666666,11.011666666666667
100174,JENA STERNWARTE,DE,50.92666666666666,11.584166666666667
100179,KAISERSLAUTERN,DE,49.42527777777777,7.736666666666666
100184,KARLSRUHE,DE,49.03916666666667,8.365
100189,MUENCHEN,DE,48.16416666666667,11.544166666666667
100199,POTSDAM,DE,52.38333333333333,13.06388888888889
100204,SCHWERIN,DE,53.64416666666666,11.388333333333334
100209,STUTTGART,DE,48.77027777777778,9.1825
100219,ZUGSPITZE,DE,47.42194444444444,10.986666666666666
100224,CORFU,GR,39.61666666666667,19.916666666666668
100229,HELLINIKON,GR,37.9,23.75
100234,HERAKLION,GR,35.33305555555556,25.18305555555556
100239,LARISSA,GR,39.65,22.45
100244,METHONI,GR,36.83305555555556,21.7
100247,BUDAPEST BELTERULET,HU,47.51083333333333,19.028055555555554
100251,DALATANGI,IS,65.26805555555555,-13.575555555555555
100255,REYKJAVIK,IS,64.12694444444443,-21.9025
100259,STYKKISHOLMUR,IS,65.07388888888889,-22.733333333333334
100263,TEIGARHORN,IS,64.67583333333334,-14.34388888888889
100267,VESTMANNAEYJAR,IS,63.4,-20.283055555555556
100271,ALEKSANDROV GAJ,RU,50.15,48.55
100275,ARXANGEL'SK,RU,64.5,40.73305555555556
100279,ARMAVIR,RU,44.98305555555556,41.11666666666667
100283,ASTRAXAN',RU,46.283055555555556,47.98305555555556
100287,ELAT'MA,RU,54.95,41.766666666666666
100291,XOSEDA-XARD,RU,67.08305555555555,59.38305555555556
100295,IZEVSK,RU,56.83305555555556,53.45
100299,KALININGRAD,RU,54.7,20.616666666666667
100303,KANDALAKSHA,RU,67.15,32.35
100307,KEM'-PORT,RU,64.98305555555555,34.81638888888889
100311,KURSK,RU,51.766666666666666,36.166666666666664
100315,KOJNAS,RU,64.75,47.65
100319,KOSTROMA,RU,57.73305555555556,40.85
100323,KOTLAS,RU,61.266666666666666,46.71666666666667
100327,KRASNOUFIMSK,RU,56.65,57.783055555555556
100331,SANKT-PETERBURG,RU,59.96666666666667,30.3
100335,MURMANSK,RU,68.96666666666667,33.04972222222222
100339,MOSKVA VDNX,RU,55.83305555555556,37.61666666666667
100343,NAR'YAN-MAR,RU,67.63305555555554,53.033055555555556
100347,UFA,RU,54.71666666666667,55.83305555555556
100351,ONEGA,RU,63.9,38.11666666666667
100355,ORENBURG,RU,51.683055555555555,55.1
100359,PAVELEÑ,RU,53.783055555555556,39.25
100367,PECHORA,RU,65.11666666666666,57.1
100371,PSKOV,RU,57.81666666666667,28.333055555555557
100375,SARATOV,RU,51.56666666666667,45.033055555555556
100379,SMOLENSK,RU,54.75,32.06666666666667
100383,SORTAVALA,RU,61.71666666666667,30.716666666666665
100387,SY'KTY'VKAR,RU,61.666666666666664,50.86666666666667
100391,TAMBOV,RU,52.8,41.5
