data_source,city,season,pi,p1,p2
ROTTERDAM all,ROTTERDAM,all,0.27947553329041797,0.671888879767377,0.3461722034754929
ROTTERDAM spring,ROTTERDAM,spring,0.2920835771330909,0.49920032753656174,0.42734028858910067
ROTTERDAM summer,ROTTERDAM,summer,0.36078161399798714,0.7410130250010281,0.37819235055544087
ROTTERDAM autumn,ROTTERDAM,autumn,0.19293331196016533,0.8251602365269064,0.31310685704645536
ROTTERDAM winter,ROTTERDAM,winter,0.10804376496623248,0.6985580174118533,0.34299221729962104
