data_source,f_1,kappa,sigma,xi
ROTTERDAM all,0.3780125453945196,0.7876243191787128,6.091552029102443,-0.031726150763380735
ROTTERDAM spring,0.34746922024623805,0.8147762196900219,6.566797005563937,0.010031194271169875
ROTTERDAM summer,0.37900128040973113,0.8051338471356371,6.547120477575829,-0.045208957485169295
ROTTERDAM autumn,0.37466666666666665,0.875298874458189,4.956746513358639,-0.025597235866317413
ROTTERDAM winter,0.409387222946545,0.6753079796837446,6.2771813738773,-0.10976460911573505
